barb	尖锐而严厉的批评：critical
byzantine	错综复杂的：complicated, secretive, interrelated
cache	囤货，藏货：supply；隐藏：hiding
cachet	同意：approval；声望：prestige
cacophony	刺耳的声音：inharmonious sound
cadge	乞讨，乞求：beg
cajole	哄骗：wheedle
calcify	使僵化：inflexible, unchangeable
calibrate	调整，使标准化：standardize；（根据标准）精确测量：measure precisely
calligraphy	（优美的）书法：elegant handwriting
callous	 无同情心的，冷漠的：unfeeling
callow	不老练的，不成熟的：lacking, experience
calumniate	诽谤，造谣，中伤：false statements
camaraderie	友情：friendly
cameo	栩栩如生的描绘，简洁生动的描述或刻画：brief, vivid portrayal；客串：brief but dramatic appearance
camouflage	伪装，伪装手段：deceive, hide
canard	谣传，误传：misleading 
candor	坦率，直率，诚挚：honest, sincere
canon	 准则，标准：standard, criterion；真经，正典：authentic
